judge_score,tp,fp,fn,justification,main_category,nct_id
5.0,6.0,0.0,0.0,"The extracted inclusion and exclusion lists exactly match the original criteria. No items are missing, added, or altered. Minor punctuation differences (removal of a trailing comma) do not affect content. Therefore the extraction is perfect.",,NCT06423625
5.0,2.0,0.0,0.0,"The extracted inclusion criteria exactly match the two original bullet points with no omissions, hallucinations, or distortions. No exclusion criteria were present in the source and the empty list is appropriate.",,NCT00090259
3.0,10.0,1.0,1.0,"One inclusion criterion (Mini-Mental Assessment test score ≥ 24) was omitted and replaced with a garbled entry, resulting in a false negative and a false positive. All other criteria were correctly extracted. No hallucinations were present.",Omission,NCT05625269
1.0,0.0,0.0,18.0,"The extracted inclusion and exclusion criteria are empty, missing all 14 inclusion items (signed consent, 5 congestion criteria for Group 1, 5 stability criteria for Group 2, and 3 advanced CHF criteria for Group 3) and all 4 exclusion items. This represents a complete omission of the source information, resulting in a severe failure.",Omission,NCT02394470
5.0,15.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility text with no omissions, hallucinations, or logical distortions. Formatting is appropriate.",,NCT00287209
5.0,18.0,0.0,0.0,"All inclusion and exclusion criteria are extracted exactly as in the original text with no omissions, hallucinations, or logical distortions. Formatting is appropriate for JSON arrays.",,NCT00482937
2.0,8.0,1.0,1.0,"All inclusion criteria are correctly extracted. All nine exclusion criteria are present, but the fourth criterion has been corrupted: the original '≥' symbols were replaced with '\b', altering the meaning of the laboratory thresholds. This constitutes a logical distortion, effectively making the extracted item incorrect, resulting in one false positive and one false negative. No criteria are omitted or hallucinated beyond this distortion.",Distortion,NCT03772847
5.0,1.0,0.0,0.0,"The extracted inclusion criteria exactly matches the original text with no omissions, hallucinations, or logical distortions. Formatting is appropriate as a single-item list; no issues detected.",,NCT00935740
5.0,4.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, accurate, and correctly formatted. No omissions, hallucinations, or logical distortions were detected.",,NCT04616625
2.0,0.0,2.0,1.0,"The extracted inclusion criteria split the single original criterion into two malformed fragments, omitting the '≥' symbol and breaking the age condition. Neither fragment matches the original statement, resulting in no true positives, two false positives (the incorrect fragments), and one false negative (the missing complete criterion). This constitutes a major omission and logical distortion.",Distortion,NCT00616369
2.0,12.0,2.0,2.0,"The extraction includes all 14 raw criteria, but two inclusion items contain logical distortions: the metformin minimum dose is incorrectly stated as ≤1500 mg/day instead of ≥1500 mg/day, and the BMI limit is reversed (≥45 kg/m² instead of ≤45 kg/m²). These distortions constitute major errors, leading to 2 false positives and 2 false negatives. No omissions or hallucinations are present, and formatting is acceptable.",Distortion,NCT02597049
5.0,6.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, logical distortions, or formatting problems.",,NCT02788331
5.0,2.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, or logical distortions. Formatting is appropriate.",,NCT01673893
5.0,9.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, distortions, or formatting errors.",,NCT04482816
5.0,11.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, distortions, or formatting problems.",,NCT04014153
5.0,7.0,0.0,0.0,"The extracted inclusion criteria capture all elements of the raw eligibility text without adding any spurious items or misrepresenting the logic. No omissions, hallucinations, or distortions are present, and formatting is appropriate.",,NCT00000531
5.0,17.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with identical wording; no extra items, omissions, or logical changes are observed.",,NCT00825318
5.0,18.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with identical wording. No criteria are missing, added, or altered, and the JSON formatting is correct.",,NCT03960801
5.0,2.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, logical distortions, or formatting problems.",,NCT02496260
2.0,19.0,4.0,4.0,"All inclusion criteria are perfectly captured. All 19 exclusion criteria are present, but four of them (LVEF ≤ 35%, HbA1c ≥ 6.5, WBC ≥ 11,000/platelet ≤ 75,000, and serum creatinine ≥ 2.0 mg/dL) have lost the essential inequality symbols (≤, ≥) and are represented with stray quotation marks. This constitutes logical distortion of the original criteria. No extra (hallucinated) criteria are introduced, and no criteria are omitted entirely. The primary issue is the distortion of quantitative thresholds, leading to 4 false positives and 4 false negatives, resulting in a score of 2.",Distortion,NCT01117506
5.0,6.0,0.0,0.0,"All inclusion and exclusion concepts from the raw eligibility criteria are present in the extracted lists. No concepts are omitted, hallucinated, or distorted. The splitting of the single exclusion bullet into multiple items is a minor formatting variation but does not affect content fidelity.",,NCT04074876
5.0,13.0,0.0,0.0,"The extracted inclusion and exclusion lists exactly match the raw eligibility criteria with no omissions, hallucinations, or logical distortions. Minor formatting differences (e.g., missing trailing commas) do not affect content fidelity.",,NCT02231528
5.0,14.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items are found. No hallucinations, logical distortions, or formatting problems are observed.",,NCT03457623
5.0,4.0,0.0,0.0,"The extracted inclusion criterion exactly matches the original text, preserving all details about recent unexplained heart failure, timeframe, diagnosis by CMR, and exclusion of ischemic or valvular causes. The three extracted exclusion criteria are identical to the original list, with no missing or added items. No hallucinations, distortions, or formatting errors affect the content.",,NCT04312490
5.0,5.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with no missing items, no added items, and no alteration of meaning. Formatting is consistent with the source (Unicode ≥, punctuation). Therefore the extraction is perfect.",,NCT02591732
3.0,27.0,0.0,0.0,"All raw inclusion and exclusion criteria are represented, but several extracted items have minor formatting errors (splitting of strings) and omit important inequality symbols (e.g., missing '≥' before 24/min and before 2.5 mg/dl, missing '≤' before 1.2). These constitute minor omissions rather than major distortions or hallucinations, leading to a score of 3.",Omission,NCT00524433
4.0,11.0,0.0,0.0,"All inclusion and exclusion criteria are present and accurate. The only discrepancy is the representation of the less‑than symbol (""<"" vs ""\<""), which is a minor formatting issue.",,NCT00871260
5.0,2.0,0.0,0.0,"Both inclusion and exclusion criteria are extracted exactly as in the original text with no omissions, hallucinations, distortions, or formatting problems.",,NCT02549664
5.0,14.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, or logical distortions. Formatting is correct and no extra items are present.",,NCT01260402
3.0,2.0,1.0,2.0,"The inclusion criteria are extracted perfectly. In the exclusion list, the first two raw criteria are correctly captured, but the third raw bullet actually contains two separate criteria (pulpally involved teeth ... and obvious discoloration with abnormal mobility). The extraction merged these into a single entry, resulting in a missing distinct criterion and a formatting distortion. No extra (hallucinated) criteria are present.",Omission,NCT05748054
5.0,3.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present, correctly worded, and no extra or missing items were introduced. No formatting or logical issues detected.",,NCT00498446
5.0,9.0,0.0,0.0,"The extracted inclusion and exclusion lists exactly match the original criteria without any omissions, hallucinations, or logical distortions. All items are present and correctly worded; no extra or missing entries were found.",,NCT05905627
5.0,22.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, or logical distortions. All items are present and correctly worded; formatting is appropriate for JSON arrays.",,NCT00804349
4.0,32.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with correct meaning. Minor formatting discrepancies exist (e.g., '>=' instead of '≥', missing '%' sign after LVEF, escaped characters, and missing superscript for m²), but no items are omitted, added, or logically altered.",,NCT03672591
4.0,7.0,0.0,0.0,All inclusion and exclusion criteria from the original text are present and accurate. The only issue is a minor formatting difference (extra period at the end of the last inclusion item).,,NCT02349997
5.0,10.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility text with no omissions, hallucinations, distortions, or formatting issues.",,NCT04337736
5.0,2.0,0.0,0.0,"Both inclusion and exclusion criteria are captured exactly as in the raw text with no omissions, hallucinations, or logical distortions. Formatting is appropriate; the escaped character for é is acceptable.",,NCT04940650
5.0,8.0,0.0,0.0,"The extracted inclusion and exclusion lists exactly match the raw eligibility criteria with no omissions, hallucinations, logical distortions, or formatting problems.",,NCT04548024
5.0,23.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with exact wording; no items are missing, added, or altered. Formatting of the JSON arrays is correct.",,NCT01531231
4.0,26.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present in the extracted lists; no items are missing or added. The only issues are minor formatting distortions (e.g., use of "">"" instead of ""≥"", escaped characters in the renal impairment and dialysis entries). These do not affect the logical content, so the extraction is essentially correct with minor formatting problems.",,NCT01225094
2.0,6.0,3.0,3.0,"The extraction misclassifies three positive eligibility statements (coronary artery disease, hypertrophic cardiomyopathy, microvascular angina) as exclusion criteria, resulting in false positives. It also omits these three items from the inclusion list, creating false negatives. The six true exclusion statements are correctly captured, yielding true positives. This combination of major omission and logical distortion warrants a score of 2.",Distortion,NCT00001459
4.0,8.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present in the extracted lists. The only problem is a missing closing parenthesis in the first exclusion criterion, which is a minor formatting issue. No criteria are omitted, hallucinated, or logically distorted.",,NCT02227810
5.0,10.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, or logical distortions. Formatting is appropriate.",,NCT03669198
5.0,6.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items are observed. No formatting errors affect the content.",,NCT02067455
5.0,3.0,0.0,0.0,"All inclusion and exclusion statements from the raw eligibility criteria are present, exact, and no extra or missing items were introduced. No hallucinations, omissions, or logical distortions detected.",,NCT02019160
5.0,5.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no missing items, no added items, and no alterations. Formatting is appropriate.",,NCT02513524
4.0,9.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present. The third inclusion item includes extraneous escaped quotation marks (\"" and \""), which is a minor formatting issue but does not alter the meaning. No criteria are omitted, hallucinated, or logically distorted.",,NCT03923530
5.0,5.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility text with no missing items, no added items, and no alterations. Formatting of the JSON arrays is correct.",,NCT00949715
5.0,7.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items are detected. No hallucinations, omissions, or logical distortions are observed.",,NCT01074658
5.0,37.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with accurate content. No items are missing, added, or altered in meaning. Minor formatting differences (e.g., newline characters, bullet consolidation) do not affect the fidelity of the extraction.",,NCT01437098
4.0,10.0,0.0,0.0,"All inclusion criteria are present and correctly extracted. All exclusion criteria are captured; the only issues are minor formatting artifacts (line break and escaped character in the citation, and redundant ""Current ICD-10 diagnosis:"" prefix on each diagnosis). No criteria are omitted, hallucinated, or logically distorted.",,NCT01589913
5.0,15.0,0.0,0.0,All inclusion and exclusion criteria from the raw text are present in the extracted lists with accurate wording and no extra or missing items. No formatting or logical issues detected.,,NCT00214513
5.0,9.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original list. No items are omitted, added, or altered, and the formatting differences (e.g., using '<' instead of '\<') do not affect meaning.",,NCT01043991
5.0,7.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, distortions, or formatting problems.",,NCT02155491
4.0,16.0,0.0,0.0,"All inclusion and exclusion criteria are present and semantically accurate. Inclusion items contain extraneous escaped quotation marks around the numeric thresholds (e.g., ""\"">=50%\"""") which constitute minor formatting issues but do not alter meaning. No omissions, hallucinations, or logical distortions are observed.",,NCT01648634
2.0,17.0,4.0,2.0,"The extraction captures most items but has critical problems: the left‑ventricular ejection fraction criterion is distorted (inequality sign changed), and the composite ""poor peripheral perfusion"" requirement (2 of 3 signs) is omitted, with the three individual signs listed separately. These constitute major logical distortions/omissions. The exclusion list is complete, though one entry lacks a closing parenthesis (minor formatting). Overall the errors are beyond minor omissions, warranting a score of 2.",Distortion,NCT01981655
4.0,9.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present in the extraction. No criteria are missing (no omissions) and no extra criteria are introduced (no hallucinations). The content is accurate, but the extraction contains minor formatting issues: the greater‑than/equal symbol is represented as ""\"">\""="" instead of the proper ≥, and the three HFrEF sub‑criteria are concatenated into a single string rather than listed separately. These are formatting imperfections, not logical distortions, so the overall score is 4 (minor formatting issue).",,NCT04686604
5.0,3.0,0.0,0.0,"All inclusion and exclusion items from the original text are present and correctly captured. Minor formatting differences (removal of an escape character) do not affect meaning, so the extraction is perfect.",,NCT00568165
5.0,12.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items were identified. No logical distortions or hallucinations detected.",,NCT00551681
5.0,14.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no missing items, no added items, and no alterations. Formatting is appropriate and there are no logical distortions.",,NCT00475709
4.0,15.0,0.0,0.0,"The extracted criteria capture all original inclusion and exclusion items accurately. Minor formatting issues are present in the inclusion list (extra quotation marks and escaped characters around >=/≥ symbols), but no content is omitted, added, or distorted.",,NCT02831608
5.0,10.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original eligibility text with no omissions, hallucinations, or logical distortions. All items are present and correctly worded; no extra or missing entries were identified.",,NCT07284212
5.0,7.0,0.0,0.0,"All inclusion and exclusion criteria are extracted exactly as in the original text with no omissions, hallucinations, or logical distortions. Formatting is correct.",,NCT02666235
5.0,2.0,0.0,0.0,"Both inclusion and exclusion criteria are extracted verbatim from the raw text with no omissions, hallucinations, or distortions. Formatting is appropriate.",,NCT03815032
2.0,12.0,0.0,0.0,"All criteria are present with no omissions or hallucinations. However, the second inclusion criterion misrepresents the inequality symbols: it uses escaped Unicode ""u2264"" for ≤ and adds an erroneous "">"" before the ≤ symbol for PaO2/FiO2, which distorts the original logical condition.",Distortion,NCT04354610
5.0,14.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with no missing items, no extra items, and no logical distortions. Minor formatting differences (removal of numbering) do not affect correctness.",,NCT06118489
5.0,10.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, distortions, or formatting problems.",,NCT00132886
5.0,8.0,0.0,0.0,"All inclusion and exclusion criteria are extracted exactly as in the original text with no omissions, hallucinations, or distortions. Formatting is appropriate.",,NCT02301689
5.0,7.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with exact wording. No criteria are omitted, added, or altered. Formatting is consistent with the source; the trailing 'and' appears in both the raw and extracted bullet, so it is not a distortion.",,NCT06115369
5.0,16.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items were identified. No logical distortions, hallucinations, or formatting errors were observed.",,NCT03759925
5.0,9.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, distortions, or formatting errors.",,NCT00321269
5.0,7.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with accurate wording and no extra or missing items. No hallucinations, distortions, or significant formatting errors are observed.",,NCT06942871
4.0,6.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with correct meaning. The only minor issue is the removal of an escape character before the '>' symbol, which is a formatting nuance but does not affect content accuracy.",,NCT02068040
5.0,4.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, or logical distortions. Formatting is appropriate.",,NCT03400553
5.0,3.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, distortions, or formatting problems.",,NCT02322359
4.0,9.0,0.0,0.0,"All criteria from the original text are present in the extracted lists. The only issue is a minor formatting inconsistency in the Hba1c criterion ('=>7,5%' instead of '=\>7,5%'), which does not affect the meaning.",,NCT01213784
2.0,7.0,0.0,0.0,"The exclusion criteria are fully captured with no omissions or hallucinations. The inclusion criteria contain all required elements but the quantitative symbols (≥) were incorrectly rendered as "">"" and extra quotation marks, altering the meaning (e.g., ""≥3"" became "">3""). This logical distortion constitutes a major error, lowering the score to 2. No items are missing or added.",Distortion,NCT03523286
5.0,1.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, distortions, or formatting problems.",,NCT00310947
5.0,4.0,0.0,0.0,"All inclusion and exclusion criteria are correctly extracted with no omissions, hallucinations, or distortions. Formatting is appropriate.",,NCT00204217
5.0,8.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, or distortions. Formatting is consistent and complete.",,NCT06149104
4.0,9.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present with correct meaning. The extracted items contain minor formatting artifacts (extra quotation marks and escaped characters around comparison operators) but no content is omitted, added, or distorted.",,NCT03817372
5.0,7.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, hallucinations, distortions, or formatting problems.",,NCT05993195
5.0,16.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items were identified. Formatting of the extracted lists is appropriate.",,NCT00494117
5.0,4.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present, correctly worded, and no extra or missing items are observed. No formatting problems or logical distortions are detected.",,NCT04336995
5.0,15.0,0.0,0.0,"The extracted inclusion criteria capture all three sub‑criteria of suspected opioid overdose and the pulse requirement without omission or addition. The extracted exclusion criteria list each raw exclusion verbatim, with no missing items, no extra (hallucinated) items, and no logical distortion. Formatting is acceptable; therefore the extraction is perfect.",,NCT03518021
2.0,6.0,2.0,1.0,"The exclusion criteria are extracted perfectly, matching the original six items (TP=6, FP=0, FN=0). However, the inclusion criterion is incorrectly split into two fragments, omitting the critical '≤' symbol and breaking the sentence, resulting in no true positive for the inclusion criterion (FN=1) and two false positives (the two fragments). This constitutes a major logical distortion of the original inclusion text.",Distortion,NCT02847585
4.0,13.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present in the extracted lists with correct content. No items are missing, added, or altered in meaning. The only deviation is minor formatting (escaped quotation marks and symbols) which does not affect the semantic fidelity, thus a minor formatting issue score of 4 is appropriate.",,NCT01620398
2.0,17.0,0.0,0.0,"All 17 criteria (5 inclusion, 12 exclusion) were extracted, but the exclusion criterion about over‑the‑counter drugs omitted the inequality sign (≤) before “100% recommended daily allowance”, changing the intended restriction. This logical distortion is a major error, resulting in a score of 2. No criteria were omitted or hallucinated.",Distortion,NCT02845037
