judge_score,tp,fp,fn,justification,main_category,nct_id
5,11.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original lists with no omissions, hallucinations, distortions, or formatting problems.",,NCT03319472
5,9.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present, correctly worded, and no extra or missing items were found. No formatting errors affect the content.",,NCT00236236
5,13.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with accurate wording and no extra items. No omissions, hallucinations, or logical distortions are observed. Formatting of the JSON arrays is correct.",,NCT01550107
5,7.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists with no omissions, hallucinations, or distortions. Formatting differences are negligible.",,NCT00356044
5,9.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility criteria with no omissions, hallucinations, logical distortions, or formatting problems.",,NCT02805387
5,10.0,0.0,0.0,"The extracted inclusion and exclusion lists contain all items from the raw eligibility criteria with exact wording and no additional or missing entries. No hallucinations, omissions, or logical distortions are present. Formatting is appropriate.",,NCT01642784
5,3.0,0.0,0.0,"The extracted inclusion criteria exactly match all three items from the original disease characteristics, and no exclusion criteria were present in the source. No omissions, hallucinations, or distortions are observed.",,NCT01139307
4,7.0,0.0,0.0,"All inclusion and exclusion criteria from the raw text are present in the extracted lists. No criteria are omitted, added, or logically altered. The only issue is a minor formatting artifact in the second inclusion criterion (escaped characters and extra quotes), which does not affect the meaning.",,NCT02367716
5,11.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original list with no omissions, hallucinations, or distortions. All items are present and correctly worded.",,NCT00176384
4,6.0,0.0,0.0,"All original inclusion and exclusion criteria are present. The exclusion criteria were split into separate list items, causing a minor formatting issue (the parent phrase was only attached to the first sub‑criterion). No criteria are missing, added, or logically altered.",,NCT01510652
5,3.0,0.0,0.0,"All inclusion and exclusion criteria from the original text are present and accurately captured. No items are missing, added, or altered. Formatting is appropriate for the JSON list representation.",,NCT00568165
5,2.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the original text with no omissions, additions, or distortions. Formatting is appropriate.",,NCT03747107
5,8.0,0.0,0.0,"The extracted inclusion and exclusion criteria exactly match the raw eligibility text with no omissions, hallucinations, logical distortions, or formatting problems.",,NCT04221763
5,7.0,0.0,0.0,"The extracted inclusion and exclusion lists contain all and only the criteria present in the original text, with no omissions, hallucinations, logical distortions, or formatting errors.",,NCT04740333
